"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7147","Verify invalid phones are not visible","phone","Fri Apr 10 07:20:35 UTC 2026","passed","Fri Apr 10 07:20:42 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","36","Verify Users endpoint amount of returned items is 10","backend","Fri Apr 10 07:20:44 UTC 2026","passed","Fri Apr 10 07:20:44 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","146","Verify Users endpoint is returning a correct 200 response for a specific user","backend","Fri Apr 10 07:20:44 UTC 2026","passed","Fri Apr 10 07:20:44 UTC 2026","Users endpoint","tests/backend/users.spec.ts","",""
"","489","Verify Post endpoint amount of returned items is 100","backend","Fri Apr 10 07:20:43 UTC 2026","passed","Fri Apr 10 07:20:44 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","4109","Verify invalid phones are not visible","chrome","Fri Apr 10 07:20:23 UTC 2026","passed","Fri Apr 10 07:20:27 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4489","Verify invalid phones are not visible","tablet","Fri Apr 10 07:20:38 UTC 2026","passed","Fri Apr 10 07:20:42 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","462","Verify Todos endpoint amount of returned items is 200","backend","Fri Apr 10 07:20:43 UTC 2026","passed","Fri Apr 10 07:20:44 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
"","4281","Verify invalid phones are not visible","edge","Fri Apr 10 07:20:30 UTC 2026","passed","Fri Apr 10 07:20:34 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","4891","Verify invalid phones are not visible","firefox","Fri Apr 10 07:20:23 UTC 2026","passed","Fri Apr 10 07:20:28 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","7884","Verify invalid phones are not visible","safari","Fri Apr 10 07:20:28 UTC 2026","passed","Fri Apr 10 07:20:36 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","146","Verify Posts endpoint is returning a correct 200 response for a specific post","backend","Fri Apr 10 07:20:44 UTC 2026","passed","Fri Apr 10 07:20:44 UTC 2026","Posts endpoint","tests/backend/posts.spec.ts","",""
"","147","Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","Fri Apr 10 07:20:44 UTC 2026","passed","Fri Apr 10 07:20:44 UTC 2026","Todos endpoint","tests/backend/todos.spec.ts","",""
