"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2445","ID-001 | Verify invalid phones are not visible","firefox","Fri May 15 08:43:47 UTC 2026","passed","Fri May 15 08:43:50 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","25","ID-122 | Verify Todos endpoint is returning a correct 200 response for a specific todo","backend","Fri May 15 08:44:12 UTC 2026","passed","Fri May 15 08:44:12 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","8305","ID-000 | Verify items are displayed for each category","safari","Fri May 15 08:43:52 UTC 2026","passed","Fri May 15 08:44:00 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","1516","ID-001 | Verify invalid phones are not visible","tablet","Fri May 15 08:44:09 UTC 2026","passed","Fri May 15 08:44:11 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","2554","ID-000 | Verify items are displayed for each category","tablet","Fri May 15 08:44:08 UTC 2026","passed","Fri May 15 08:44:11 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","1323","ID-001 | Verify invalid phones are not visible","chrome","Fri May 15 08:43:44 UTC 2026","passed","Fri May 15 08:43:45 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","2442","ID-000 | Verify items are displayed for each category","edge","Fri May 15 08:44:00 UTC 2026","passed","Fri May 15 08:44:02 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","5196","ID-000 | Verify items are displayed for each category","phone","Fri May 15 08:44:03 UTC 2026","passed","Fri May 15 08:44:08 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","16","ID-131 | Verify Users endpoint amount of returned items is 10","backend","Fri May 15 08:44:12 UTC 2026","passed","Fri May 15 08:44:12 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","1259","ID-001 | Verify invalid phones are not visible","edge","Fri May 15 08:44:02 UTC 2026","passed","Fri May 15 08:44:03 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","2543","ID-000 | Verify items are displayed for each category","chrome","Fri May 15 08:43:44 UTC 2026","passed","Fri May 15 08:43:46 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","3549","ID-001 | Verify invalid phones are not visible","phone","Fri May 15 08:44:04 UTC 2026","passed","Fri May 15 08:44:07 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","23","ID-132 | Verify Users endpoint is returning a correct 200 response for a specific user","backend","Fri May 15 08:44:12 UTC 2026","passed","Fri May 15 08:44:12 UTC 2026","Users endpoint","tests/api/users.spec.ts","",""
"","22","ID-121 | Verify Todos endpoint amount of returned items is 200","backend","Fri May 15 08:44:12 UTC 2026","passed","Fri May 15 08:44:12 UTC 2026","Todos endpoint","tests/api/todos.spec.ts","",""
"","448","ID-101 | Verify Post endpoint amount of returned items is 100","backend","Fri May 15 08:44:12 UTC 2026","passed","Fri May 15 08:44:12 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","367","ID-102 | Verify Posts endpoint is returning a correct 200 response for a specific post","backend","Fri May 15 08:44:12 UTC 2026","passed","Fri May 15 08:44:12 UTC 2026","Posts endpoint","tests/api/posts.spec.ts","",""
"","5990","ID-001 | Verify invalid phones are not visible","safari","Fri May 15 08:43:52 UTC 2026","passed","Fri May 15 08:43:58 UTC 2026","","tests/frontend/homePage.spec.ts","",""
"","3859","ID-000 | Verify items are displayed for each category","firefox","Fri May 15 08:43:46 UTC 2026","passed","Fri May 15 08:43:50 UTC 2026","","tests/frontend/homePage.spec.ts","",""
