"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3194","Verify Successful login","edge","Sat Mar 15 09:06:56 GMT 2025","passed","Sat Mar 15 09:06:59 GMT 2025","","tests/frontend/login.spec.ts","",""
"","39","Verify Post endpoint amount of returned items is 100","backend","Sat Mar 15 09:07:10 GMT 2025","passed","Sat Mar 15 09:07:10 GMT 2025","Posts endpoint","tests/backend/posts.spec.ts","",""
"","6778","Verify invalid phones are not visible","safari","Sat Mar 15 09:06:48 GMT 2025","passed","Sat Mar 15 09:06:54 GMT 2025","","tests/frontend/homePage.spec.ts","",""
"","4988","Verify invalid phones are not visible","firefox","Sat Mar 15 09:06:42 GMT 2025","passed","Sat Mar 15 09:06:47 GMT 2025","","tests/frontend/homePage.spec.ts","",""
"","4490","Verify invalid phones are not visible","phone","Sat Mar 15 09:07:00 GMT 2025","passed","Sat Mar 15 09:07:04 GMT 2025","","tests/frontend/homePage.spec.ts","",""
"","4258","Verify invalid phones are not visible","tablet","Sat Mar 15 09:07:05 GMT 2025","passed","Sat Mar 15 09:07:09 GMT 2025","","tests/frontend/homePage.spec.ts","",""
"","6031","Verify Successful login","safari","Sat Mar 15 09:06:49 GMT 2025","passed","Sat Mar 15 09:06:55 GMT 2025","","tests/frontend/login.spec.ts","",""
"","4486","Verify Successful login","firefox","Sat Mar 15 09:06:42 GMT 2025","passed","Sat Mar 15 09:06:46 GMT 2025","","tests/frontend/login.spec.ts","",""
"","3835","Verify Successful login","phone","Sat Mar 15 09:07:00 GMT 2025","passed","Sat Mar 15 09:07:04 GMT 2025","","tests/frontend/login.spec.ts","",""
"","226","Verify Posts endpoint is returning a correct 200 response","backend","Sat Mar 15 09:07:10 GMT 2025","passed","Sat Mar 15 09:07:10 GMT 2025","Posts endpoint","tests/backend/posts.spec.ts","",""
"","34","Verify Todos endpoint amount of returned items is 200","backend","Sat Mar 15 09:07:10 GMT 2025","passed","Sat Mar 15 09:07:10 GMT 2025","Todos endpoint","tests/backend/todos.spec.ts","",""
"","167","Verify Todos endpoint is returning a correct 200 response","backend","Sat Mar 15 09:07:10 GMT 2025","passed","Sat Mar 15 09:07:10 GMT 2025","Todos endpoint","tests/backend/todos.spec.ts","",""
"","3564","Verify Successful login","chrome","Sat Mar 15 09:06:37 GMT 2025","passed","Sat Mar 15 09:06:40 GMT 2025","","tests/frontend/login.spec.ts","",""
"","3882","Verify invalid phones are not visible","edge","Sat Mar 15 09:06:56 GMT 2025","passed","Sat Mar 15 09:06:59 GMT 2025","","tests/frontend/homePage.spec.ts","",""
"","3767","Verify Successful login","tablet","Sat Mar 15 09:07:05 GMT 2025","passed","Sat Mar 15 09:07:09 GMT 2025","","tests/frontend/login.spec.ts","",""
"","4048","Verify invalid phones are not visible","chrome","Sat Mar 15 09:06:37 GMT 2025","passed","Sat Mar 15 09:06:41 GMT 2025","","tests/frontend/homePage.spec.ts","",""
"","60","Verify Users endpoint is returning a correct 200 response","backend","Sat Mar 15 09:07:10 GMT 2025","passed","Sat Mar 15 09:07:10 GMT 2025","Users endpoint","tests/backend/users.spec.ts","",""
"","28","Verify Users endpoint amount of returned items is 10","backend","Sat Mar 15 09:07:10 GMT 2025","passed","Sat Mar 15 09:07:10 GMT 2025","Users endpoint","tests/backend/users.spec.ts","",""
